name	full_address	address	city	zip	hours	x	y	source	description	notes	contact_link	local_district	phone
El Centro del Pueblo	1824 W. Sunset Blvd., Los Angeles, 90026	1824 W. Sunset Blvd.	Los Angeles	90026	NA	-118.2602683	34.0777576	familySource	NA	NA	NA	NA	(213) 483-6335
Volunteers of America Los Angeles	1075 N. Western Ave., Los Angeles, 90029	1075 N. Western Ave.	Los Angeles	90029	NA	-118.3097105	34.0903911	familySource	NA	NA	NA	NA	(323) 364-8663
All People's Community Center	822 E. 20th St., Los Angeles, 90011	822 E. 20th St.	Los Angeles	90011	NA	-118.256591	34.0257438	familySource	NA	NA	NA	NA	(213) 747-6357
Central City Neighborhood Partners	501 S. Bixel St., Los Angeles, 90017	501 S. Bixel St.	Los Angeles	90017	NA	-118.2618214	34.0548809	familySource	NA	NA	NA	NA	(213) 482-8618
P.F. Bresee Foundation	184 S. Bimini Pl., Los Angeles, 90004	184 S. Bimini Pl.	Los Angeles	90004	NA	-118.2901637	34.0705552	familySource	NA	NA	NA	NA	(213) 387-2822
El Centro de Ayuda Corporation	2130 E. 1st St., Los Angeles, 90033	2130 E. 1st St. #110	Los Angeles	90033	NA	-118.2129594	34.0441775	familySource	NA	NA	NA	NA	(323) 526-9301
Barrio Action Youth & Family Center	4927 Huntington Dr. N, Los Angeles, 90032	4927 Huntington Dr. N #200	Los Angeles	90032	NA	-118.1764009	34.0874596	familySource	NA	NA	NA	NA	(323) 221-0779
El Nido Family Center	11243 Genoaks Blvd., Ste. 2, Pacoima, 91331	11243 Genoaks Blvd. Ste. 2	Pacoima	91331	NA	-118.4129786	34.2739431	familySource	NA	NA	NA	NA	(818) 896-7776
New Economics for Women	6946 Van Nuys Blvd., Ste. 220, Van Nuys, 91405	6946 Van Nuys Blvd. Ste. 220	Van Nuys	91405	NA	-118.4481519	34.1970429	familySource	NA	NA	NA	NA	(818) 786-4098
New Economics for Women	2144 Saticoy St., 2nd Floor, Canoga Park, 91304	2144 Saticoy St. 2nd Floor	Canoga Park	91304	NA	-118.608163	34.2082877	familySource	NA	NA	NA	NA	(818) 887-3872
Watts Labor Community Action Committee	1212 E. 108th St., Los Angeles, 90059	1212 E. 108th St.	Los Angeles	90059	NA	-118.2538957	33.9374565	familySource	NA	NA	NA	NA	(323) 357-6262
Toberman Neighborhood Center	131 N. Grand Ave., San Pedro, 90731	131 N. Grand Ave.	San Pedro	90731	NA	-118.2903464	33.7438133	familySource	NA	NA	NA	NA	(310) 832-1145 ext.106
El Nido Family Centers	2069 W. Slauson, Los Angeles, 90047	2069 W. Slauson	Los Angeles	90047	NA	-118.3156015	33.9894017	familySource	NA	NA	NA	NA	(323) 998-0093
The Children's Collective, Inc.	915 W. Manchester, Los Angeles, 90044	915 W. Manchester	Los Angeles	90044	NA	-118.2903464	33.960265	familySource	NA	NA	NA	NA	(323) 789-4717
1736 Family Crisis Center	2116 Arlington Ave., Ste. 200, Los Angeles, 90028	2116 Arlington Ave. Ste. 200	Los Angeles	90028	NA	-118.3168452	34.0373769	familySource	NA	NA	NA	NA	(323) 737-3900
Latino Resource Organization	1645 Corinth Ave., Los Angeles, 90025	1645 Corinth Ave. #112	Los Angeles	90025	NA	-118.4493949	34.0450572	familySource	NA	NA	NA	NA	(424) 293-8297
DREAM Center	2301 Bellvue Ave, Los Angeles, 90026	2301 Bellvue Ave	Los Angeles	90026	Monday to Friday - 7:30 am - 6:30 pm	-118.269153	34.0745204	FoodResources	FREE MEALS (Breakfast, Lunch & Dinner) for all LAUSD students starting March 16th, 2020.	NA	https://www.instagram.com/p/B9sW_hzgYnJ/	C	(213) 273-7000
St Francis Center	1835 S. Hope St, Los Angeles, 90015	1835 S. Hope St	Los Angeles	90015	Monday to Friday - 7:30 am - 9:30 am	-118.2697925	34.0340212	FoodResources	Hot breakfast Monday through Friday. Food bank on Saturdays.	NA	https://www.stfranciscenterla.org/import-update-regarding-st-francis-center-program-modifications-and-covid-19-preparedness-plan/	C	(213) 747-5347
Los Angelitos Bakery	2881 E Florence Ave, Huntington Park, 90255	2881 E Florence Ave	Huntington Park	90255	Monday to Friday - 12:00 pm - 2:00 pm	-118.2178714	33.973646	FoodResources	Offering 1 FREE BREAD to children ages 5-13yrs old throughout LAUSD closure. More information on their Instagram page.	NA	https://www.instagram.com/p/B9sKRnwpXTb/	E	(323) 587-2253
Salvation Army	2965 E Gage Ave., Huntington Park, 90255	2965 E Gage Ave.	Huntington Park	90255	Thursday - 2:00 pm - 4:00 pm	-118.2163864	33.9814472	FoodResources	Non-parishable food; call first. ID required, no kids.	NA	https://locator.lacounty.gov/lac/Location/3176341/salvation-army-corps-community-center---huntington-park	E	(323) 587-4221
World Harvest Food Bank	3200 S Grand Ave., Los Angeles, 90005	3200 S Grand Ave.	Los Angeles	90005	Mon. - Fri.- 8:00 am - 6:00 pm, Sat 8:00 am - 3:00 pm	-118.2750339	34.0213442	FoodResources	Walk in service available. $40 for food bundle ($200 value).	NA	https://www.worldharvestla.org/	E	(213)746-2227
Food Net- Centro Maravilla	4716 East Cesar Chavez Avenue, Los Angeles, 90022	4716 East Cesar Chavez Avenue	Los Angeles	90022	Monday to Friday - 9:00 am - 4:00 pm	-118.1644721	34.0403342	FoodResources	Emergency food services: Call for an appointment.	NA	https://wdacs.lacounty.gov/center/centro-maravilla/	E	(323) 260-2805
The Asian Youth Center	100 Clary Ave, San Gabriel, 91776	100 Clary Ave	San Gabriel	91776	Monday to Friday - 8:30 am - 5:00 pm.	-118.1003346	34.0976158	FoodResources	By appointment: Mon. - Fri.:  8:30 am - 5:00 pm.	NA	https://www.asianyouthcenter.org/#	N/A	(626) 537-0954
Catholic Charities	1040 Coronel St., San Fernando, 91340	1040 Coronel St.	San Fernando	91340	9:00 am -11:00 am, 2nd and 4th Friday of each month	-118.4437635	34.2811925	FoodResources	Call for dates of food distribution. One adult per household.	NA	https://catholiccharitiesla.org/	NE	(818) 365-3194
Sova Kosher Food Pantry	16439 Vanowen St., Van Nuys, 91405	16439 Vanowen St.	Van Nuys	91405	Mon. - Thurs.- 10:00 am - 1:30 pm, Sun.- 9:00 am - 12:00 pm	-118.491725	34.1942489	FoodResources	Please take ID,proof of address and birth cetificates of children.	NA	https://www.jfsla.org/SOVA	NE	(818) 988-7682
VIC Food Pantry	6514 Sylmar Ave., Van Nuys, 91401	6514 Sylmar Ave.	Van Nuys	91401	Monday to Friday - 9:00 am - 5:00 pm	-118.4463236	34.1890986	FoodResources	Call before going. Ages 60+.	NA	https://nmvic.org/get-involved/food-pantry/	NE	(818) 781-1101
Burbank – Temporary Aid Center- B-TAC	1304 West Burbank Boulevard, Burbank, 91506	1304 West Burbank Boulevard	Burbank	91506	Monday to Friday - 9:00 am - 12:00 pm	-118.3260815	34.182529	FoodResources	Call for more information.	NA	https://www.burbanktemporaryaidcenter.org	NW	(818) 848-2822
Guadalupe Community Center	21600 Hart St., Canoga Park, 91303	21600 Hart St.	Canoga Park	91303	Monday to Friday - 9:00 am - 12:00 pm	-118.6004808	34.1973598	FoodResources	Tues and Thurs bread and fruit only	NA	https://www.facebook.com/pages/Guadalupe-Community-Center/169033536454982	NW	(213) 251-3549
Family Rescue Center	22103 Vanowen St., Canoga Park, 91303	22103 Vanowen St.	Canoga Park	91303	Monday to Friday - 9:00 am - 12:00 pm	-118.6085194	34.1941088	FoodResources	Meals for homeless and families in need.	NA	https://www.rescatefamilycenter.org/	NW	(818) 884-7587
North Valley Caring Services	15453 Rayen St. , North Hills, 91343	15453 Rayen St.	North Hills	91343	Thursday and Friday from 9am	-118.4691285	34.2322081	FoodResources	Drive thru food pantry	NA	https://www.nvcsinc.org/	NW	(818) 891-0481
Lutheran Social SVCS	7400 Tajunga Ave., North Hollywood, 91605	7400 Tajunga Ave.	North Hollywood	91605	Mon, Tues, Fri 10:00 am - 1:00 pm	-118.3786926	34.2050229	FoodResources	Food pantry. Bring ID and bag.	NA	https://www.lsssc.org/	NW	(818) 901-9480
Toberman Family Source Center	131 N Grand Ave., San Pedro, 90731	131 N Grand Ave.	San Pedro	90731	Monday to Friday - after 3:30pm	-118.2903464	33.7438133	FoodResources	Home delivery and grocery gift cards. Grab and go meals for students after school.	NA	https://toberman.org/	S	(310) 830-1145
St. Anne’s Church and Social Services	2013 Colorado Avenue, Santa Monica , 90232	2013 Colorado Avenue	Santa Monica	90232	Tuesday- 4:00pm - 5:30pm	-118.4766046	34.0267295	FoodResources	Food pantry for the needy.	NA	https://www.foodpantries.org/li/ca-st_annes_social_service_food_pantry	W	(310) 829-4411
WSFB – St. Joseph’s Center	204 Hampton Drive, Venice , 90291	204 Hampton Drive	Venice	90291	Mon. 10:00 am - 12:00 pm, Tues. & Thurs. 12:00 pm - 3:00 pm	-118.4778653	33.9978341	FoodResources	Food pantry and groceries.	NA	https://foodoasis.la/food-pantry/wsfb-st-josephs-center/	W	(310) 396-6468
Nexx Burger	7414 Florence Ave, Downey, 90240	7414 Florence Ave	Downey	90240	2:00 pm - 5:00 pm every day	-118.1402233	33.9582933	FoodResources	Kids under the age of 12 and under, who must be present, with a free burger	NA	https://www.instagram.com/p/B970jnugmvS/	NA	NA
Nexx Burger	2727 Newport Blvd, Newport Beach, 92663	2727 Newport Blvd	Newport Beach	92663	2:00 pm - 5:00 pm every day	-117.9299177	33.6122741	FoodResources	Kids under the age of 12 and under, who must be present, with a free burger	NA	https://www.instagram.com/p/B970jnugmvS/	NA	NA
WellNest	3787 South Vermont Ave, Los Angeles, 90007	3787 South Vermont Ave	Los Angeles	90007	Monday to Friday - 8am - 4pm	-118.291916	34.0173455	MentalHealth_open	Individual and Family Counseling Services.	NA	www.wellnestla.org	Central	(323)766-345
