Partner Type,Local District,Organization/ Agency,Contact Link,Address,City,Zip code,Phone number,Description,id
Food Resources,All,LAUSD Grab-n-Go,https://achieve.lausd.net/resources,Check website for locations,NA,NA,(213) 241-1000,FREE STUDENT MEALS at 64 Grab and Go Food Centers. View the map to find a location near you.,1
Food Resources,various,Foodpantries.org,https://www.foodpantries.org/,NA,NA,NA,NA,NA,42
Food Resources,various,Nexx Burger,http://www.nexxburger.com/,"Various Locations: DOWNEY:  7414 Florence Ave., Downey, CA 90240
 or 2727 Newport Blvd, Newport Beach, CA 92663",NA,NA,NA,"Due to the Coronavirus, the community and the world are enduring tough times. We want to help the community as much as possible by feeding kids at the age of 12 and under, who must be present, with a free burger between 2:00 pm - 5:00 pm every day until further notice.",54
Food Resources,various,Toast Restaurants,https://toastbakerycafe.net/,Check website for more information,NA,NA,(714) 257-9677,Call before going.,68
Food Resources,various,USDA National Hunger Hotline,https://www.hungerfreeamerica.org/about/our-work/usda-national-hunger-hotline,NA,NA,NA,NA,For ppl seeking food assistance,70
Food Resources,various,Cal Fresh- EBT Online,https://www.getcalfresh.org/,NA,NA,NA,NA,"Individuals and families can purchase groceries online using their EBT card at Amazon and Walmart. If you receive CalWORKs, you may also be able to use your cash benefits to make purchases online at Wal-Mart.",71
Food Resources,various,California Dept. of Public Health (WIC),https://www.cdph.ca.gov/Programs/CFH/DWICSN/pages/program-landing1.aspx,NA,NA,NA,NA,WIC expands foods choices temporarily due to COVID-19,72
Food Resources,various,OC Food Help,https://ocfoodhelp.org,NA,NA,NA,NA,"Orange County food help: find soup kitchens, food pantries, home-delivered meals, congregate meals, and after-school meals for yourself and your family.",99
Food Resources,Various,CHIRP LA,http://www.chirpla.org/,NA,NA,NA,NA,Updated COVID-19 Food Bank Guide,139
Food Resources,Various,"Bienestar Human Services, Inc.",https://www.bienestar.org/,Check website for nearest location,NA,NA,(866) 590-6411,"Food Bank for HIV+ community: Tues. 11:00 a.m. - 2:00 p.m., Wed. 10:00 a.m. - 12:00 p.m., and Thurs.  12:00 p.m. - 4:00 p.m..",142
Food Resources,Various,El Torito,https://www.eltorito.com/kids-eat-free/,Check website for local restaurants,NA,NA,NA,FREE KIDS MEALS for children under the age of 12. View updates on their Facebook page.,143
Food Resources,Various,Everytable,https://www.everytable.com/,NA,NA,NA,(323) 458-6487,"They connect directly with foundations, organizations and nonprofits who are committed to feeding people and to provide food access and/or relief to those who need it",144
Food Resources,Various,Expensify,https://www.expensify.org/hunger#reimbursement,NA,NA,NA,NA,Offering reimbursment to families on SNAP while funds last,145
Food Resources,Various,Greater Emmanuel Temple,N/A,"Seniors in Lynwood, Compton, South Gate and Watts",NA,NA,(424) 296-0400,Tues. - Fri.: 9:00 am - 12:00 pm.,146
Food Resources,Various,Hugo's Restaurants,https://www.hugosrestaurant.com/,Check website for more information,NA,NA,"Valley Village: (818) 761-8985
West Hollywood:  (323) 654-3993",Offering FREE MEALS to children under 12yrs of age throughout LAUSD closure. Please contact your local Hugo’s Restaurant for hours of operation and additional details.D closure.,147
Food Resources,Various,LA City/County Elder Nutrition Program,https://wdacs.lacounty.gov/programs/aaa/enp/,Check website for more information,NA,NA,(800) 510-2020,"The Home-Delivered Meals Program is designed specifically for home-bound individuals. This valuable program not only delivers a nutritious meal on a daily basis, but also serves as a mechanism to check up on the client, thereby providing an additional safety inspection and furthering the ability for him or her to remain home. Although the Home-Delivered Meals Program does not require participants to pay for meals, a donation ranging between $1.75 – $3.00 per meal is appreciated.",148
Food Resources,Various,LA County Charter School Grab-n-Go,https://docs.google.com/spreadsheets/d/1RjJXZWZVgg7hT-qkUEaAdsm5MXQJYFterKupZrxugOM/edit#gid=0,Check website for locations,NA,NA,NA,FREE KIDS MEALS for children under the age of 12.  This is available during business hours. Please contact your local El Torito for hours of operation and additional details.,149
Food Resources,Various,LA Food Bank,https://www.lafoodbank.org/,Various Locations,NA,NA,(323) 234-3030,"For the closest food pantry/bank to you, visit:
Los Angeles Food Bank Pantry Locator.",150
