partner_type,district,name,contact_link,address,Full Address,city,zip,phone,description,id,lon,lat,online
Food,All,World Harvest Food Bank,https://www.worldharvestla.org/,3100 Venice Blvd.,"3100 Venice Blvd., Los Angeles, 90019",Los Angeles,90019,(213) 746-2227,"Mon. - Fri. : 8:00 am - 6:00 pm, Sat. 8:00 am - 3:00 pm. There is a charge of $40.00 for over $200.00 worth of groceries where clients are able to choose from. Recipients must bring and ID, utility bill, and proof of residence.",2,-118.3181121,34.0432414,no
Food,C,All Peoples Community Center,N/A,822 E. 20th St.,"822 E. 20th St., Los Angeles, 90011",Los Angeles,90011,(213) 747-6357,Food pantry day and hours: Fridays: 9:30 am - 1:00 pm. Must bring ID.,3,-118.256591,34.0257438,no
Food,C,American Veteran Inc.,N/A,351 East Temple St,"351 East Temple St, Los Angeles, 90012",Los Angeles,90012,(909) 534-5953,Must call and schedule an appointment for pickup.,4,-118.2385001,34.0520292,no
Food,C,Brownson House Community Services Center,https://locator.lacounty.gov/lac/Location/3176351/catholic-charities-of-los-angeles---brownson-house,1307 Warren St.,"1307 Warren St., Los Angeles, 90033",Los Angeles,90033,(213) 251-3512,Food pantry days and hours: Mon-Fri: 9:00 am - 1:00 pm. Must provide a picture ID.,5,-118.2201788,34.0520689,no
Food,C,Central City Neighborhood Partners,https://www.laccnp.org/who-we-are.php,501 S. Bixel St.,"501 S. Bixel St., Los Angeles, 90017",Los Angeles,90017,(213) 482-8618,"Food pantry days and hours: Thursday: 9:00 am - 1:00 pm, or until food runs out. ID is not required, but preferred.",6,-118.2618214,34.0548809,no
Food,C,Charismatic Evangelical Ministries,N/A,439 S. Western Ave.,"439 S. Western Ave., Los Angeles, 90020",Los Angeles,90020,(213) 219-3228,"Food Pantry days and hours: 1st, 2nd, & 3rd Sunday from 1:00 pm - 2:00 pm. Senior only distribution on LAST Sunday from 1:00 pm - 2:00 pm. No ID is required at this time.",7,-118.3094961,34.066015,no
Food,C,Children's Hospital Los Angeles,https://www.chla.org/,5000 Sunset Blvd. 7th Fl.,"5000 Sunset Blvd. 7th Fl., Los Angeles, 90027",Los Angeles,90027,(323) 361-5981,Food pantry day and hours: Wednesdays: 10:00 am - 11:00 am. Please bring your own bags.,8,-118.2986129,34.0978447,no
Food,C,Christian Food Center,http://www.christianfood.org/,1355 E. Washington Blvd,"1355 E. Washington Blvd, Los Angeles, 90021",Los Angeles,90021,(213) 716-9115,"Tues-Fri: 9:00 a.m. - 3:30 p.m., and Sat: 9:00 a.m. - 12:00 p.m. This is not an in-kind pantry. Please bring $30.00 dollar donation for 250 pounds of groceries.",9,-118.2487564,34.0237527,no
Food,C,Downtown Women's Center,https://www.downtownwomenscenter.org/,442 S. San Pedro St.,"442 S. San Pedro St., Los Angeles, 90011",Los Angeles,90011,(213) 225-8032,"Meals, clothing, housing assistance. They are also available online. Grab and Go meals daily from 9:00 am - 9:30 am to women distributed through a gate.",10,-118.2432057,34.0446522,no
Food,C,DREAM Center,https://www.dreamcenter.org/,2301 Bellvue Ave,"2301 Bellvue Ave, Los Angeles, 90026",Los Angeles,90026,(213) 273-7000,"FREE MEALS (Breakfast, Lunch & Dinner) for all LAUSD students starting March 16th, 2020.",11,-118.269153,34.0745204,no
